company_name,high,low,last_price,prev_close,change,percent_gain
Oracle Fin Serv,"9,301.00","8,820.00","9,264.50","8,413.00",851.5,10.12
Welspun Living,126.60,118.00,123.90,114.25,9.65,8.45
Vardhman Text,449.00,417.95,442.95,409.70,33.25,8.12
Elecon Eng,614.60,561.00,600.80,559.90,40.9,7.3
IGIL,378.80,352.00,373.55,348.75,24.8,7.11
Apar Ind,"8,530.00","7,981.50","8,486.00","7,949.50",536.5,6.75
Waaree Energies,"3,503.50","3,267.40","3,477.80","3,259.10",218.7,6.71
Himadri Special,490.00,452.65,478.25,450.50,27.75,6.16
Zensar Tech,829.00,779.00,825.30,777.85,47.45,6.1
Intellect Desig,"1,020.00",954.00,"1,015.65",959.80,55.85,5.82
Persistent,"5,430.00","5,150.50","5,419.00","5,131.00",288,5.61
Concord Biotech,"1,680.00","1,605.00","1,670.20","1,582.30",87.9,5.56
Tata Elxsi,"5,860.00","5,590.00","5,843.50","5,553.50",290,5.22
Sobha,"1,504.50","1,430.00","1,496.00","1,429.00",67,4.69
Bharat Dynamics,"1,494.00","1,425.10","1,488.40","1,423.90",64.5,4.53
Zen Tech,"1,509.70","1,440.20","1,502.60","1,437.90",64.7,4.5
Wockhardt,"1,579.70","1,501.10","1,559.90","1,493.70",66.2,4.43
Hitachi Energy,"19,863.00","18,910.00","19,675.00","18,846.00",829,4.4
Premier Energie,"1,047.00","1,001.45","1,041.80",998.55,43.25,4.33
Mastek,"2,580.00","2,448.40","2,543.00","2,437.70",105.3,4.32
SBI Card,861.00,823.00,854.40,819.35,35.05,4.28
COFORGE LTD.,"1,778.80","1,710.00","1,768.60","1,696.60",72,4.24
Bank of India,117.81,112.90,117.49,112.77,4.72,4.19
Union Bank,132.90,127.87,132.51,127.24,5.27,4.14
MphasiS,"2,988.40","2,867.30","2,968.40","2,853.30",115.1,4.03
NLC India,249.45,240.01,248.62,239.00,9.62,4.03
Cyient,"1,246.50","1,187.50","1,228.90","1,181.60",47.3,4
Motilal Oswal,924.90,889.00,920.00,884.75,35.25,3.98
Transformers,523.20,499.00,515.90,496.40,19.5,3.93
CG Power ,770.00,745.45,768.95,740.10,28.85,3.9
Tanla Platforms,725.00,674.05,701.90,675.80,26.1,3.86
Trident,30.00,28.40,29.16,28.11,1.05,3.74
Tata Tech,711.90,682.05,704.85,679.55,25.3,3.72
Bharat Elec,386.80,373.05,385.65,371.95,13.7,3.68
KPIT Tech,"1,290.00","1,240.40","1,286.00","1,240.40",45.6,3.68
Balkrishna Ind,"2,390.00","2,295.90","2,383.50","2,299.80",83.7,3.64
NMDC Steel,45.75,43.51,45.02,43.44,1.58,3.64
Sapphire Foods,338.00,324.00,332.20,320.80,11.4,3.55
Brigade Ent,939.80,905.85,935.90,904.35,31.55,3.49
Bank of Mah,54.28,52.56,54.12,52.39,1.73,3.3
eClerx Services,"4,578.40","4,299.20","4,475.00","4,338.20",136.8,3.15
JSW Energy,523.00,508.20,521.45,506.10,15.35,3.03
LT Foods,455.00,441.60,453.40,440.10,13.3,3.02
